input_artist_name,matched_name,mbid,musicbrainz_country,type,disambiguation,match_status,source_origin_country,source_birth_place,source_current_residence,source_wikidata_id,source_wiki_url,usable_for_network,triage_reason,promotion_source,promotion_reason
Misha Mengelberg,Misha Mengelberg,4f81bb0c-ea29-4671-9224-e55597811340,NL,Person,"pianist, improviser, composer, co-founder of ICP",auto_accept,Ukraine,Kyiv,Kingdom of the Netherlands,Q1264766,https://en.wikipedia.org/wiki/Misha_Mengelberg,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Yossele Rosenblatt,Yossele Rosenblatt,94344d92-4515-4815-80f0-42024021573c,US,Person,,auto_accept,Ukraine,Bila Tserkva,United States,Q1708769,https://en.wikipedia.org/wiki/Yossele_Rosenblatt,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Marcella Sembrich,Marcella Sembrich,296cc1b4-d88b-4ac0-8054-6ef9be09c5d3,PL,Person,"Polish coloratura soprano, Prakseda Marcelina Kochańska",auto_accept,Ukraine,Vyshnivchyk,Poland,Q265698,https://en.wikipedia.org/wiki/Marcella_Sembrich,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Irene Abendroth,Irene Abendroth,9a63942e-9d5d-4853-b306-0f468507ea23,PL,Person,Polish soprano,auto_accept,Ukraine,Lviv,Austria,Q79002,https://en.wikipedia.org/wiki/Irene_Abendroth,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Alexander Kipnis,Alexander Kipnis,617e5e6d-555f-4655-8907-0d0a4f075cf1,US,Person,operatic bass,auto_accept,Ukraine,Zhytomyr,Russian Empire,Q215634,https://en.wikipedia.org/wiki/Alexander_Kipnis,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Bohdana Frolyak,Bohdana Frolyak,304ea972-0600-43b4-9d91-50377a574c10,UA,Person,Ukrainian composer,auto_accept,Ukraine,Vydyniv,Ukraine,Q4938040,https://en.wikipedia.org/wiki/Bohdana_Frolyak,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Olena Tokar,Olena Tokar,24285042-bcc6-4d24-aa57-a537ad34654d,UA,Person,soprano,auto_accept,Ukraine,Novotoshkivske,Ukraine,Q12161762,https://en.wikipedia.org/wiki/Olena_Tokar,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Natalie Burn,Natalie Burn,0e8d262b-cf9d-4891-a3d3-898e2d3c816c,,Person,,auto_accept,Ukraine,Kyiv,Ukraine,Q23715847,https://en.wikipedia.org/wiki/Natalie_Burn,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Jascha Horenstein,Jascha Horenstein,f0fdf43e-55f3-48fb-a9ed-fbe254750f9b,US,Person,conductor,auto_accept,Ukraine,Kyiv,New York City,Q214965,https://en.wikipedia.org/wiki/Jascha_Horenstein,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Volodymyr Sheiko,Volodymyr Sheiko,2f6aa873-0574-488f-82d9-e6d4642cc6bf,UA,Person,conductor,auto_accept,Ukraine,Kharkiv,Ukraine,Q4522423,https://en.wikipedia.org/wiki/Volodymyr_Sheiko,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Aida Nikolaychuk,Aida Nikolaychuk,0ebcb599-e99c-4703-aea4-569ed82d40d5,UA,Person,,auto_accept,Ukraine,Odesa,Ukraine,Q12134613,https://en.wikipedia.org/wiki/Aida_Nikolaychuk,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Alisa Kozhikina,Alisa Kozhikina,2e3515b0-b4e0-4e95-8bc8-cbf102b34289,RU,Person,,auto_accept,Ukraine,Uspenka,Russia,Q18126952,https://en.wikipedia.org/wiki/Alisa_Kozhikina,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Irving Mills,Irving Mills,2a2bf494-ac80-4ac9-901f-1ef2fece51ce,US,Person,,auto_accept,Ukraine,Odesa,United States,Q1292110,https://en.wikipedia.org/wiki/Irving_Mills,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Els Aarne,Els Aarne,44a9a8d8-8cf8-454a-a8bc-2ab06e428657,EE,Person,Estonian composer,auto_accept,Ukraine,Makiivka,Estonia,Q453545,https://en.wikipedia.org/wiki/Els_Aarne,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Jack Delano,Jack Delano,83b7f1f8-233c-4f1e-aa42-486d52b87276,US,Person,,auto_accept,Ukraine,Voroshylivka,United States,Q639121,https://en.wikipedia.org/wiki/Jack_Delano,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Leonid Nikolayev,Leonid Nikolayev,b76c1fe9-1f8d-4a3c-9790-7f0bc6d42737,RU,Person,"pianist, conductor, composer",auto_accept,Ukraine,Kyiv,Russian Empire,Q2023778,https://en.wikipedia.org/wiki/Leonid_Nikolayev_(pianist),True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Leo Sirota,Leo Sirota,d94fa163-90b0-450d-9abc-de462b63a081,US,Person,,auto_accept,Ukraine,Kamianets-Podilskyi,Kyiv,Q1037441,https://en.wikipedia.org/wiki/Leo_Sirota,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Olha Bezsmertna,Olga Bezsmertna,46334952-9b6b-4c9b-b424-0c57e9453fa2,UA,Person,soprano,auto_accept,Ukraine,Bohuslav,Ukraine,Q20631407,https://en.wikipedia.org/wiki/Olga_Bezsmertna,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Marek Weber,Marek Weber,7591640c-968e-42bf-9e4e-6cbce12352e6,DE,Person,,auto_accept,Ukraine,Lviv,Austria–Hungary,Q78127,https://en.wikipedia.org/wiki/Marek_Weber,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Anna Asti,ANNA ASTI,b934679c-d157-4d13-8618-6c21d212438d,RU,Person,,auto_accept,Ukraine,Cherkasy,Russia,Q107646300,https://en.wikipedia.org/wiki/Anna_Asti,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Leon Belasco,Leon Belasco,8e0c4138-81cc-47ac-8c23-d62283a2b844,US,Person,Russian-American musician and actor,auto_accept,Ukraine,Odesa,United States,Q6524510,https://en.wikipedia.org/wiki/Leon_Belasco,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Victoria Petryk,Victoria Petryk,d4bdd9c7-2100-48a1-bf15-c0f543c64bad,UA,Person,"Ukranian singer, JESC 2008 runner-up",auto_accept,Ukraine,Odesa,Ukraine,Q166661,https://en.wikipedia.org/wiki/Viktoria_Petryk,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Joseph Schillinger,Joseph Schillinger,a92e8422-23a3-4210-bdac-a194b9f1755e,US,Person,,auto_accept,Ukraine,Kharkiv,Soviet Union,Q510906,https://en.wikipedia.org/wiki/Joseph_Schillinger,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Isydor Vorobkevych,Sydir Vorobkevych,dbd0709c-ad57-4bf2-b62f-b37b1cbbc002,UA,Person,,auto_accept,Ukraine,Chernivtsi,Austrian Empire,Q695400,https://en.wikipedia.org/wiki/Sydir_Vorobkevych,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Juliusz Zarębski,Juliusz Zarębski,722feabb-7453-4484-bee9-f519719e83d9,PL,Person,Polish composer and pianist,auto_accept,Ukraine,Zhytomyr,Poland,Q1245120,https://en.wikipedia.org/wiki/Juliusz_Zar%C4%99bski,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Viktoriya Yermolyeva,Vika Yermolyeva,59feafb2-48ef-436f-afac-c6c89be9972d,UA,Person,,auto_accept,Ukraine,Kyiv,Ukraine,Q441126,https://en.wikipedia.org/wiki/Viktoriya_Yermolyeva,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
