input_artist_name,input_song_title,seed_artist_mbid,recording_title,recording_mbid,first_date,year,credited_artist_names,credited_artist_mbids,musicbrainz_score,lookup_strategy_used,lookup_status,country,period
Oxxxymiron,Девочка Пиздец (Fucked Up Girl),fb2a8279-79cf-4849-b692-1ce674709159,Девочка Пиздец,d87e4058-da84-452a-8e88-183d667b8bb1,2015-11-13,2015,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre
Oxxxymiron,Переплетено (Interlaced),fb2a8279-79cf-4849-b692-1ce674709159,Переплетено,aa4b5cbf-ceb7-4a2a-ab5a-f64178962694,2015-11-13,2015,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre
Oxxxymiron,В книге всё было по-другому (4 раунд 17ib) (The Book Had It Different),fb2a8279-79cf-4849-b692-1ce674709159,"В книге всё было по-другому (4 Раунд, 17ib)",09f63f6e-2636-4828-9297-1e563f04b904,2020-02-03,2020,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,83,clean_artist_title,matched,Russia,pre
Oxxxymiron,Агент (Agent),fb2a8279-79cf-4849-b692-1ce674709159,Агент,4a72ec8d-3d74-4f1f-893e-d39300a2c03e,2021-12-01,2021,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre
Oxxxymiron,Грязь (Dirt),fb2a8279-79cf-4849-b692-1ce674709159,Грязь,40126607-e067-490c-ac64-3d5acd60db43,2021-12-01,2021,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre
Oxxxymiron,Красота и Уродство (Beauty & Ugliness),fb2a8279-79cf-4849-b692-1ce674709159,Красота и Уродство,2a6bb418-2d85-4d71-be36-d78bb7d69cf3,2021-12-01,2021,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre
Oxxxymiron,КТО УБИЛ МАРКА? (WHO KILLED MARK?),fb2a8279-79cf-4849-b692-1ce674709159,КТО УБИЛ МАРКА?,fce35423-406a-439a-92d8-de7f4d98416f,2021-11-02,2021,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre
Saint Levant,I Guess,015c8b7d-015b-4603-9792-18bb440178ac,I Guess,450964db-2fbd-42d8-927b-4ac9d50ad807,2022-12-11,2022,Saint Levant | Playyard,015c8b7d-015b-4603-9792-18bb440178ac | 40b8dcf2-fdec-4563-8954-cdc7ee7f1ace,100,exact_artist_title,matched,Palestine,pre
Saint Levant,Very Few Friends,015c8b7d-015b-4603-9792-18bb440178ac,Very Few Friends,2485ddde-db95-47f3-b433-123e120c9e8a,2023-03-06,2023,Saint Levant,015c8b7d-015b-4603-9792-18bb440178ac,100,exact_artist_title,matched,Palestine,pre
Saint Levant,Between the Lines,015c8b7d-015b-4603-9792-18bb440178ac,Between the Lines,be54c04d-c40f-4640-87fd-da5105990f69,2023-03-06,2023,Saint Levant,015c8b7d-015b-4603-9792-18bb440178ac,100,exact_artist_title,matched,Palestine,post
Saint Levant,FaceTime,015c8b7d-015b-4603-9792-18bb440178ac,FaceTime,a3946ecf-346b-427b-be02-0ab1ab0f7899,2023-02-14,2023,Saint Levant,015c8b7d-015b-4603-9792-18bb440178ac,100,exact_artist_title,matched,Palestine,post
Saint Levant,"From Gaza, With Love",015c8b7d-015b-4603-9792-18bb440178ac,"From Gaza, With Love",0c19488a-a13c-4929-ba72-4fe1ee35a1a6,2023-03-06,2023,Saint Levant,015c8b7d-015b-4603-9792-18bb440178ac,100,exact_artist_title,matched,Palestine,post
Saint Levant,Nails,015c8b7d-015b-4603-9792-18bb440178ac,Nails,7a203b29-a8b2-47b8-a011-30e9e578f2da,2023-05-25,2023,Saint Levant,015c8b7d-015b-4603-9792-18bb440178ac,100,exact_artist_title,matched,Palestine,post
Saint Levant,5am in Paris,015c8b7d-015b-4603-9792-18bb440178ac,5am in Paris,f6f06cd0-5f10-402e-adc6-0aa964b06486,2024-04-11,2024,Saint Levant,015c8b7d-015b-4603-9792-18bb440178ac,100,exact_artist_title,matched,Palestine,post
Saint Levant,Allah Yihmeeki,015c8b7d-015b-4603-9792-18bb440178ac,Allah Yihmeeki,a1cffc1a-b850-4898-98d2-d45fe894a3ee,2024-06-07,2024,Saint Levant | Kehlani,015c8b7d-015b-4603-9792-18bb440178ac | 3260ce89-5eb0-4c6a-89c7-379c0dfc2ab9,100,exact_artist_title,matched,Palestine,post
Saint Levant,DALOONA - دلعونة,015c8b7d-015b-4603-9792-18bb440178ac,,,,,,,,none,no_match,Palestine,post
Saint Levant,Deira,015c8b7d-015b-4603-9792-18bb440178ac,Deira,27d99a7c-c41f-4cd2-b953-532c8d19fbda,2024-06-07,2024,Saint Levant | MC Abdul,015c8b7d-015b-4603-9792-18bb440178ac | bd49121d-3dd5-46ae-8ef9-69c66fd01bff,100,exact_artist_title,matched,Palestine,post
Saint Levant,Forgive Me,015c8b7d-015b-4603-9792-18bb440178ac,Forgive Me,487b2946-30af-4684-962b-19c9cd608e74,2024-06-07,2024,Saint Levant,015c8b7d-015b-4603-9792-18bb440178ac,100,exact_artist_title,matched,Palestine,post
Saint Levant,Galbi,015c8b7d-015b-4603-9792-18bb440178ac,Galbi,059445c5-d5cb-43e8-a8b4-2fdca7a7e655,2024-06-07,2024,Saint Levant,015c8b7d-015b-4603-9792-18bb440178ac,100,exact_artist_title,matched,Palestine,post
Saint Levant,DIVA - بنت الذهبية,015c8b7d-015b-4603-9792-18bb440178ac,,,,,,,,none,no_match,Palestine,post
Saint Levant,DO YOU LOVE ME? - سنيورة,015c8b7d-015b-4603-9792-18bb440178ac,,,,,,,,none,no_match,Palestine,post
Saint Levant,EXILE - معاكي,015c8b7d-015b-4603-9792-18bb440178ac,,,,,,,,none,no_match,Palestine,post
Subliminal,Banu Hoshech Legaresh - באנו חושך לגרש,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre
Subliminal,Beit Hasefer Hayashan - בית הספר הישן,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre
Subliminal,Ha’adrichalim - האדריכלים,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre
Subliminal,Hai Meyom Leyom - חי מיום ליום,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre
Subliminal,Me T.A Le L.A - מת”א לל”א,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre
Subliminal,I like It - איי לייק איט (משאולין לתל אביב),1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre
Subliminal,TACT Allstars - תאקט אולסטארז,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre
Subliminal,Klasit Ve’parsi - קלאסית ופרסי,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre
Subliminal,Torro - טורו,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre
Subliminal,Bat 60 - בת 60,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre
Subliminal,Peace In The Middle East,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre
Subliminal,Ba’a Li Tov - באה לי טוב,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre
Subliminal,Mami - מאמי,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre
Subliminal,Prachim Baka’ne - פרחים בקנה,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre
Subliminal,Tizaher Mimena - תיזהר ממנה,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre
Yasmin Levy,Adio Kerida,856e486f-21f3-4203-a5d2-e30993988b38,Adio Kerida,df77cfe6-6e8e-4f9d-935e-1067c4e6ecf0,2009,2009,Yasmin Levy,856e486f-21f3-4203-a5d2-e30993988b38,100,exact_artist_title,matched,Israel,pre
Yasmin Levy,Irme Kero,856e486f-21f3-4203-a5d2-e30993988b38,Irme kero,83db0c73-c3ba-454b-80ec-2725b54e14f5,2007-11,2007,Yasmin Levy,856e486f-21f3-4203-a5d2-e30993988b38,100,exact_artist_title,matched,Israel,pre
Yasmin Levy,Odecha,856e486f-21f3-4203-a5d2-e30993988b38,Odecha,1c47169d-0993-4a28-bae3-d24c5253e25d,2007-11,2007,Yasmin Levy,856e486f-21f3-4203-a5d2-e30993988b38,100,exact_artist_title,matched,Israel,pre
Yasmin Levy,El amor contigo,856e486f-21f3-4203-a5d2-e30993988b38,El amor contigo,4a858e7c-ec02-475a-be9d-0e21ffc4328c,2009-10-05,2009,Yasmin Levy,856e486f-21f3-4203-a5d2-e30993988b38,100,exact_artist_title,matched,Israel,pre
Yasmin Levy,Hallelujah,856e486f-21f3-4203-a5d2-e30993988b38,Hallelujah,4f93a033-abf5-4feb-b818-c7ceae134fd3,2009-10-05,2009,Yasmin Levy,856e486f-21f3-4203-a5d2-e30993988b38,100,exact_artist_title,matched,Israel,pre
Yasmin Levy,Mi korason,856e486f-21f3-4203-a5d2-e30993988b38,Mi Korason,dc1c8667-7cc1-4eae-8e0b-b6b6812ed55e,2010,2010,Yasmin Levy,856e486f-21f3-4203-a5d2-e30993988b38,100,exact_artist_title,matched,Israel,pre
Yasmin Levy,Porque,856e486f-21f3-4203-a5d2-e30993988b38,Porque,e478863b-7e01-426f-a1ec-85bb24704d89,2009-10-05,2009,Yasmin Levy,856e486f-21f3-4203-a5d2-e30993988b38,100,exact_artist_title,matched,Israel,pre
Yasmin Levy,La Rosa Enflorece,856e486f-21f3-4203-a5d2-e30993988b38,La rosa enflorece,1f405fd3-7fca-436d-80ed-8743e82a2ff9,2012-10-08,2012,Yasmin Levy,856e486f-21f3-4203-a5d2-e30993988b38,100,exact_artist_title,matched,Israel,pre
