input_artist_name,matched_name,mbid,musicbrainz_country,type,disambiguation,score,match_status,notes,source_name,source_wikidata_id,source_origin_country,source_birth_place,source_current_residence,source_wiki_url
Irina Muravyova,Irina,8b95d10e-bc87-4aab-9404-39941f76bcb8,FI,Person,Finnish singer Irina Saari,100,review_needed,Candidate is disambiguated and should be checked manually.,Irina Muravyova,Q1962742,Russia,Moscow,Russia,https://en.wikipedia.org/wiki/Irina_Muravyova
Albina Dzhanabaeva,Альбина Джанабаева,9e644aeb-603a-4065-8a98-0a58c8e1ecc2,RU,Person,,100,review_needed,Candidate needs manual review.,Albina Dzhanabaeva,Q1980070,Russia,Volgograd,Russia,https://en.wikipedia.org/wiki/Albina_Dzhanabaeva
Tatiana Abramova,Tatiana,3e3bc3d5-3100-48b3-b232-a474ba5075a9,MX,Person,"Mexican kids artist, actress, and pop singer",100,review_needed,Candidate is disambiguated and should be checked manually.,Tatiana Abramova,Q4054968,Russia,Tyumen,Russia,https://en.wikipedia.org/wiki/Tatiana_Abramova
Yevgeny Ponasenkov,Yevgeny Sudbin,cfb38fd7-1d90-44ea-ae93-d434a3b72208,GB,Person,Russian-British pianist,100,review_needed,Candidate is disambiguated and should be checked manually.,Yevgeny Ponasenkov,Q4371811,Russia,Moscow,Russia,https://en.wikipedia.org/wiki/Evgeniy_Ponasenkov
Dmitry Pevtsov,Дмитрий Певцов,c9fb3327-455e-47fc-9349-1ad55c34293a,RU,Person,,100,review_needed,Candidate needs manual review.,Dmitry Pevtsov,Q3400285,Russia,Moscow,Russia,https://en.wikipedia.org/wiki/Dmitry_Pevtsov
Viktorija Loba,Викторија Лоба,216f19a2-b7bf-464e-8fd6-9117af67a4c4,,Person,,100,review_needed,Candidate needs manual review.,Viktorija Loba,Q12905559,Russia,Taganrog,North Macedonia,https://en.wikipedia.org/wiki/Viktorija_Loba
Zelimkhan Bakaev,,,,,,,no_match,No usable result returned by MusicBrainz.,Zelimkhan Bakaev,Q42295587,Russia,Grozny,Chechnya,https://en.wikipedia.org/wiki/Zelim_Bakaev
Ilya Prusikin,Илья Прусикин,eadc8810-6fba-4e71-be81-70473bade8b9,,Person,,100,review_needed,Candidate needs manual review.,Ilya Prusikin,Q45550458,Russia,Ust-Borzya,Saint Petersburg,https://en.wikipedia.org/wiki/Ilya_Prusikin
Alan Badoev,Алан Бадоев,9d6b99cb-4fa4-4538-83f3-15b8e9abcab7,UA,Person,,100,review_needed,Candidate needs manual review.,Alan Badoev,Q4074981,Russia,Beslan,Ukraine,https://en.wikipedia.org/wiki/Alan_Badoev
Mitrofan Belyayev,Митрофан Беляев,376e2851-e7de-4984-b6b7-8026ec12f22b,,Person,,100,review_needed,Candidate needs manual review.,Mitrofan Belyayev,Q1317716,Russia,Saint Petersburg,Russian Empire,https://en.wikipedia.org/wiki/Mitrofan_Belyayev
Oleg Kagan,Олег Каган,8f207de8-aeae-4d02-87c5-440286bffea7,RU,Person,violinist,100,review_needed,Candidate is disambiguated and should be checked manually.,Oleg Kagan,Q1363356,Russia,Yuzhno-Sakhalinsk,Soviet Union,https://en.wikipedia.org/wiki/Oleg_Kagan
Sergei Nakariakov,Sergei Nakariakov,9c5524c7-859c-4aa3-a8c8-b4c3f07e4508,FR,Person,trumpeter,100,auto_accept,Very high score and near-exact name match.,Sergei Nakariakov,Q1632910,Russia,Nizhny Novgorod,Russia,https://en.wikipedia.org/wiki/Sergei_Nakariakov
Alexander Egorovich Varlamov,Александр Варламов,eeebe8e9-11cd-4b04-8325-fe441dc1d161,RU,Person,founding father of the Russian art song,100,review_needed,Candidate is disambiguated and should be checked manually.,Alexander Egorovich Varlamov,Q2003374,Russia,Moscow,Russian Empire,"https://en.wikipedia.org/wiki/Aleksandr_Varlamov_(composer,_born_1801)"
Wladimir Vogel,Wladimir Vogel,af4795bc-9b50-445b-a821-2be872be2825,CH,Person,Swiss composer,100,auto_accept,Very high score and near-exact name match.,Wladimir Vogel,Q115947,Russia,Moscow,Ascona,https://en.wikipedia.org/wiki/Wladimir_Vogel
Anna Marly,Anna Marly,17568a47-5686-4d8d-9a1a-71c56a9b11ad,FR,Person,,100,auto_accept,Very high score and near-exact name match.,Anna Marly,Q464853,Russia,Saint Petersburg,France,https://en.wikipedia.org/wiki/Anna_Marly
Igor Matvienko,Игорь Матвиенко,b8ed472b-e957-45ea-9977-58899b15417d,RU,Person,,100,review_needed,Candidate needs manual review.,Igor Matvienko,Q4284680,Russia,Moscow,Russia,https://en.wikipedia.org/wiki/Igor_Matvienko
Grigory Ginzburg,Grigory Romanovich Ginzburg,9ae01b82-72aa-4ebd-85b0-143d4c894dcc,SU,Person,pianist,100,review_needed,Candidate is disambiguated and should be checked manually.,Grigory Ginzburg,Q374594,Russia,Nizhny Novgorod,Soviet Union,https://en.wikipedia.org/wiki/Grigory_Ginzburg
Lydia Kavina,Лидия Кавина,f2ef5bc9-f6dd-4ec9-9d48-86a8695959fa,,Person,,100,review_needed,Candidate needs manual review.,Lydia Kavina,Q448758,Russia,Moscow,Russia,https://en.wikipedia.org/wiki/Lydia_Kavina
Capital Bra,Capital Bra,b725da05-6d6e-4a28-b2c4-c639c24fc1cd,DE,Person,German rapper from Berlin,100,auto_accept,Very high score and near-exact name match.,Capital Bra,Q24008612,Russia,Siberia,Kleinmachnow,https://en.wikipedia.org/wiki/Capital_Bra
Yuz Aleshkovsky,YUZ,9208e87b-9709-4f50-ad8a-b853a21a94aa,,Person,"Guitarist, composer and producer Uriah Witztum",100,review_needed,Candidate is disambiguated and should be checked manually.,Yuz Aleshkovsky,Q4062196,Russia,Krasnoyarsk,Soviet Union,https://en.wikipedia.org/wiki/Yuz_Aleshkovsky
Vladimir Rebikov,Владимир Ребиков,8c7209ab-7f62-4109-997f-aeae00961c29,RU,Person,Russian composer and pianist,100,review_needed,Candidate is disambiguated and should be checked manually.,Vladimir Rebikov,Q950199,Russia,Krasnoyarsk,Russian Empire,https://en.wikipedia.org/wiki/Vladimir_Rebikov
Oleg Lundstrem,Оркестр Олега Лундстрема,8e118325-e340-4573-a6d9-3c6b7af1207c,SU,Group,,100,review_needed,Candidate needs manual review.,Oleg Lundstrem,Q1390611,Russia,Chita,Russia,https://en.wikipedia.org/wiki/Oleg_Lundstrem
Ilya Lagutenko,Илья Лагутенко,7bb1abfd-f5e1-49a9-8804-bf2539f11c91,RU,Person,,100,review_needed,Candidate needs manual review.,Ilya Lagutenko,Q1658597,Russia,Moscow,Russia,https://en.wikipedia.org/wiki/Ilya_Lagutenko
Gerasim Lebedev,Alexey Lebedev,d97b19cd-e3f5-48d5-bfc0-21c8ca9f3c58,RU,Person,pianist,100,review_needed,Candidate is disambiguated and should be checked manually.,Gerasim Lebedev,Q2028881,Russia,Yaroslavl,Kolkata,https://en.wikipedia.org/wiki/Gerasim_Lebedev
Vera Timanova,Vera Teltz,736da881-0b40-4a32-a347-3688d0b83195,DE,Person,,100,review_needed,Candidate needs manual review.,Vera Timanova,Q439806,Russia,Ufa,Russian Empire,https://en.wikipedia.org/wiki/Vera_Timanova
Viviana Sofronitsky,Viviana Sofronitzky,2aba3834-53b8-49e7-8379-dda0c1d25240,RU,Person,pianist,100,auto_accept,High score and strong name similarity.,Viviana Sofronitsky,Q440486,Russia,Moscow,Canada,https://en.wikipedia.org/wiki/Viviana_Sofronitsky
Vladimir Krainev,Vladimir Krainev,5ebb36c1-218b-4bbe-98b0-d71ab197828e,RU,Person,pianist,100,auto_accept,Very high score and near-exact name match.,Vladimir Krainev,Q670381,Russia,Krasnoyarsk,Russia,https://en.wikipedia.org/wiki/Vladimir_Krainev
Yakov Flier,Яков Флиер,0d17c3cd-2c48-4bc6-a756-ba8bc25b488c,SU,Person,pianist,100,review_needed,Candidate is disambiguated and should be checked manually.,Yakov Flier,Q931515,Russia,Orekhovo-Zuyevo,Russian Empire,https://en.wikipedia.org/wiki/Yakov_Flier
Armen Grigoryan,Армен Григорян,cd08528a-793a-46e6-bdf3-d05c7f448267,RU,Person,,100,review_needed,Candidate needs manual review.,Armen Grigoryan,Q2472160,Russia,Moscow,Russia,https://en.wikipedia.org/wiki/Armen_Grigoryan_(guitarist)
Naoko,河合奈保子,ef0ed4b3-614e-4cdc-8a5c-c012c28e3b65,JP,Person,,100,review_needed,Candidate needs manual review.,Naoko,Q136535620,Russia,Rakhya,Russia,https://en.wikipedia.org/wiki/Diana_Loginova
