name,wikidata_id,origin_country,birth_place,current_residence,wiki_url
Elmar Gasanov,Q4134050,Ukraine,Sevastopol,Russia,https://en.wikipedia.org/wiki/Elmar_Gasanov
Ania Dorfmann,Q4167122,Ukraine,Odesa,United States,https://en.wikipedia.org/wiki/Ania_Dorfmann
Kostya Leontovich,Q4258984,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Kostya_Leontovich
Ignaz Tiegerman,Q4162238,Ukraine,Drohobych,Poland,https://en.wikipedia.org/wiki/Ignace_Tiegerman
Sascha Gorodnitzki,Q4145277,Ukraine,Kyiv,United States,https://en.wikipedia.org/wiki/Sascha_Gorodnitzki
Dmitry Paperno,Q4344654,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Dmitry_Paperno
Vladyslav Zaremba,Q4187173,Ukraine,Dunaivtsi,Russian Empire,https://en.wikipedia.org/wiki/Vladyslav_Zaremba
Ihor Shamo,Q4519883,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Ihor_Shamo
Skofka,Q109376259,Ukraine,Rivne,Kyiv,https://en.wikipedia.org/wiki/Skofka
Aleksander Zarzycki,Q4187449,Ukraine,Lviv,Austrian Empire,https://en.wikipedia.org/wiki/Aleksander_Zarzycki
V. A. Natanson,Q4314153,Ukraine,Huliaipole,Soviet Union,https://en.wikipedia.org/wiki/Vladimir_Natanson
Oleg Karavaychuk,Q4213623,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Oleg_Karavaychuk
Jan Savitt,Q1682187,Ukraine,Shumsk,United States,https://en.wikipedia.org/wiki/Jan_Savitt
Dol Dauber,Q87319,Ukraine,Vyzhnytsia,Czechoslovakia,https://en.wikipedia.org/wiki/Dol_Dauber
Samuel Pokrass,Q4369153,Ukraine,Kyiv,Russian Empire,https://en.wikipedia.org/wiki/Samuel_Pokrass
Oleh Psiuk,Q109394082,Ukraine,Kalush,Ukraine,https://en.wikipedia.org/wiki/Oleh_Psiuk
Ernst Jedliczka,Q4174050,Ukraine,Poltava,Germany,https://en.wikipedia.org/wiki/Ernst_Jedliczka
Konstantin Listov,Q4263449,Ukraine,Odesa,Soviet Union,https://en.wikipedia.org/wiki/Konstantin_Listov
Sergey Tarnovsky,Q4452079,Ukraine,Kyiv,Russian Empire,https://en.wikipedia.org/wiki/Sergei_Tarnowsky
Anna Kravtchenko,Q4767181,Ukraine,Kharkiv,Ukraine,https://en.wikipedia.org/wiki/Anna_Kravtchenko
Natalya Pasichnyk,Q4989450,Ukraine,Rivne,Sweden,https://en.wikipedia.org/wiki/Natalya_Pasichnyk
Dmytro Shurov,Q4527981,Ukraine,Vinnytsia,Ukraine,https://en.wikipedia.org/wiki/Dmytro_Shurov
Mikhail Skorulskyi,Q4422402,Ukraine,Kyiv,Russian Empire,https://en.wikipedia.org/wiki/Mykhailo_Skorulskyi
Yasha Spivakovsky,Q4431188,Ukraine,Smila,Russian Empire,https://en.wikipedia.org/wiki/Jascha_Spivakovsky
Alexander Peskanov,Q4719830,Ukraine,Odesa,Soviet Union,https://en.wikipedia.org/wiki/Alexander_Peskanov
Mykola Suk,Q4445674,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Mykola_Suk
