name,wikidata_id,origin_country,birth_place,current_residence,wiki_url
Monatik,Q12124379,Ukraine,Lutsk,Ukraine,https://en.wikipedia.org/wiki/Monatik
Karol Mikuli,Q549666,Ukraine,Chernivtsi,Cisleithania,https://en.wikipedia.org/wiki/Karol_Mikuli
Yakov Zak,Q1369531,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Yakov_Zak
Wojciech Bobowski,Q1360874,Ukraine,Lviv,Polish–Lithuanian Commonwealth,https://en.wikipedia.org/wiki/Ali_Ufk%C3%AE
Samuil Feinberg,Q1971227,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Samuil_Feinberg
Natalya Mogilevskaya,Q4299108,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Natalia_Mohylevska
Ivan Kozlovskyi,Q1397423,Ukraine,Marianivka,Russia,https://en.wikipedia.org/wiki/Ivan_Kozlovsky
Yuri Kasparyan,Q1068795,Ukraine,Simferopol,Saint Petersburg,https://en.wikipedia.org/wiki/Yuri_Kasparyan
MamaRika,Q3056591,Ukraine,Sheptytskyi,Ukraine,https://en.wikipedia.org/wiki/MamaRika
Samuel Maykapar,Q175282,Ukraine,Kherson,Russian Empire,https://en.wikipedia.org/wiki/Samuel_Maykapar
Karl Doppler,Q67497,Ukraine,Lviv,Cisleithania,https://en.wikipedia.org/wiki/Karl_Doppler
Eduard Steuermann,Q214108,Ukraine,Sambir,United States,https://en.wikipedia.org/wiki/Eduard_Steuermann
Svitlana Azarova,Q455606,Ukraine,Izmail,The Hague,https://en.wikipedia.org/wiki/Svitlana_Azarova
Yarmak,Q16054135,Ukraine,Boryspil,Ukraine,https://en.wikipedia.org/wiki/Oleksandr_Yarmak
Yevsevii Mandychesvky,Q701340,Ukraine,Chernivtsi,Austria–Hungary,https://en.wikipedia.org/wiki/Eusebius_Mandyczewski
Alexander Mosolov,Q918640,Ukraine,Kyiv,Moscow,https://en.wikipedia.org/wiki/Alexander_Mosolov
Artemy Vedel,Q971559,Ukraine,Kyiv,Russian Empire,https://en.wikipedia.org/wiki/Artemy_Vedel
Aleksander Michałowski,Q1220637,Ukraine,Kamianets-Podilskyi,Poland,https://en.wikipedia.org/wiki/Aleksander_Micha%C5%82owski
Isaac Schwartz,Q1366574,Ukraine,Romny,Russia,https://en.wikipedia.org/wiki/Isaac_Schwartz
Nikolay Diletsky,Q1389722,Ukraine,Kyiv,Kyiv,https://en.wikipedia.org/wiki/Mykola_Pavlovych_Dyletsky
Ignacy Feliks Dobrzyński,Q1622085,Ukraine,Romaniv,Poland,https://en.wikipedia.org/wiki/Ignacy_Feliks_Dobrzy%C5%84ski
Witold Maliszewski,Q2094426,Ukraine,Mohyliv-Podilskyi,Saint Petersburg,https://en.wikipedia.org/wiki/Witold_Maliszewski
Aleksander Serov,Q4417712,Ukraine,Kovalivka,Russia,https://en.wikipedia.org/wiki/Aleksander_Serov
Vladimir de Pachmann,Q674861,Ukraine,Odesa,Kingdom of Italy,https://en.wikipedia.org/wiki/Vladimir_de_Pachmann
Yuri Stoyanov,Q26688,Ukraine,Odesa,Russia,https://en.wikipedia.org/wiki/Yuri_Stoyanov
Nikolai Malko,Q716305,Ukraine,Brailiv,Russian Empire,https://en.wikipedia.org/wiki/Nicolai_Malko
Nonna Grishayeva,Q2029106,Ukraine,Odesa,Russia,https://en.wikipedia.org/wiki/Nonna_Grishayeva
Nazarii Yaremchuk,Q2453311,Ukraine,Vyzhnytsia,Soviet Union,https://en.wikipedia.org/wiki/Nazariy_Yaremchuk
Lyudmila Senchina,Q4416413,Ukraine,Kudriavske,Russia,https://en.wikipedia.org/wiki/Lyudmila_Senchina
Andrii Khlyvniuk,Q4498294,Ukraine,Cherkasy,Ukraine,https://en.wikipedia.org/wiki/Andriy_Khlyvnyuk
Olya Polyakova,Q15081052,Ukraine,Vinnytsia,Kyiv,https://en.wikipedia.org/wiki/Olya_Polyakova
Berta Vázquez,Q21001794,Ukraine,Kyiv,Spain,https://en.wikipedia.org/wiki/Berta_V%C3%A1zquez
Maria Sur,Q116733141,Ukraine,Zaporizhzhia,Sweden,https://en.wikipedia.org/wiki/Maria_Sur
Karol Rathaus,Q84660,Ukraine,Ternopil,Austria,https://en.wikipedia.org/wiki/Karol_Rathaus
Marian Hemar,Q367234,Ukraine,Lviv,Poland,https://en.wikipedia.org/wiki/Marian_Hemar
Olha Bohomolets,Q868081,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Olha_Bohomolets
Menachem Avidom,Q705340,Ukraine,Ivano-Frankivsk,Israel,https://en.wikipedia.org/wiki/Menachem_Avidom
Valentina Serova,Q534305,Ukraine,Kharkiv,Soviet Union,https://en.wikipedia.org/wiki/Valentina_Serova
Dmytro Shurov,Q4527981,Ukraine,Vinnytsia,Ukraine,https://en.wikipedia.org/wiki/Dmytro_Shurov
